algo.asNode(nodeId).Airport_name,centrality
Tulsa International Airport,0.30691448382126346
Amílcar Cabral International Airport,0.3068849301877708
Copernicus Wrocław Airport,0.3067372473532243
Guararapes - Gilberto Freyre International Airport,0.3067372473532243
Bari Karol Wojtyła Airport,0.30664870585971327
Don Miguel Hidalgo Y Costilla International Airport,0.3064717761323204
East Midlands Airport,0.30638338781003654
Yemelyanovo Airport,0.30638338781003654
Pointe-à-Pitre Le Raizet,0.30635393636451025
Martinique Aimé Césaire International Airport,0.3062950504565113
Philip S. W. Goldson International Airport,0.30626561599077456
Nnamdi Azikiwe International Airport,0.3061773465270439
Ndjili International Airport,0.30611852847949284
Djerba Zarzis International Airport,0.3060891279293123
Luxor International Airport,0.3060597330260252
Eppley Airfield,0.3060597330260252
Adelaide International Airport,0.3058834821000096
Portland International Jetport Airport,0.3056781124112795
Providenciales Airport,0.30561948599923283
Netaji Subhash Chandra Bose International Airport,0.30556088207094917
City of Colorado Springs Municipal Airport,0.3055023006134969
Salzburg Airport,0.3054730183072942
Montpellier-Méditerranée Airport,0.30541447053186394
Sevilla Airport,0.3052389617852696
Ajaccio-Napoléon Bonaparte Airport,0.30515128303332056
Menorca Airport,0.3051220679751077
Wichita Eisenhower National Airport,0.3051220679751077
Hato International Airport,0.3050928585104346
Tucson International Airport,0.3050928585104346
Platov International Airport,0.30483022477283594
El Paso International Airport,0.30483022477283594
Winnipeg / James Armstrong Richardson International Airport,0.3047719231137037
Skopje Alexander the Great Airport,0.3047719231137037
Sulaymaniyah International Airport,0.3047427806463951
Owen Roberts International Airport,0.3046845124282983
Norman Manley International Airport,0.30462626648824315
Hewanorra International Airport,0.30462626648824315
Piarco International Airport,0.30462626648824315
Piedmont Triad International Airport,0.3045680428134557
Tirana International Airport Mother Teresa,0.304538939321548
Bastia-Poretta Airport,0.304538939321548
Palm Springs International Airport,0.30442258095329067
Rabil Airport,0.3043644351064846
Priština International Airport,0.3043353705118411
McGhee Tyson Airport,0.3043353705118411
Nador International Airport,0.3043063114675833
Exeter International Airport,0.3042482100238664
Pula Airport,0.3042482100238664
Strasbourg Airport,0.3042482100238664
Khabarovsk-Novy Airport,0.3042482100238664
Savannah Hilton Head International Airport,0.3041320736711518
Gerald R. Ford International Airport,0.30407403873676175
Libreville Leon M'ba International Airport,0.3039870278519649
St. John's International Airport,0.30387109077040425
Santiago de Compostela Airport,0.3038421203165221
Vladivostok International Airport,0.3038421203165221
Aalborg Airport,0.303813155386082
L.F. Wade International International Airport,0.303813155386082
Port Bouet Airport,0.3035527193066006
Lungi International Airport,0.30343711320575073
Milas Bodrum International Airport,0.30332159512705814
Manas International Airport,0.30314848283078094
Myrtle Beach International Airport,0.30314848283078094
Birmingham-Shuttlesworth International Airport,0.30314848283078094
Paphos International Airport,0.3028316229570506
Ted Stevens Anchorage International Airport,0.30277408322249666
Greenville Spartanburg International Airport,0.30277408322249666
Flamingo International Airport,0.302659069325736
Friedrichshafen Airport,0.302515424774561
Sharjah International Airport,0.302515424774561
Sharm El Sheikh International Airport,0.3024867122247532
Douala International Airport,0.3023145513185354
Jerez Airport,0.30225720789074356
Guernsey Airport,0.3021998862127821
N'Djamena International Airport,0.3021425862722791
La Palma Airport,0.3021425862722791
Abeid Amani Karume International Airport,0.3021425862722791
Praia International Airport,0.30208530805687206
Orlando Sanford International Airport,0.30194220748460443
Mikonos Airport,0.3018850052098134
Tivat Airport,0.3018850052098134
Cozumel International Airport,0.30185641219928017
James M Cox Dayton International Airport,0.30185641219928017
Des Moines International Airport,0.30179924242424244
Ouagadougou Airport,0.3017420943003219
Santorini Airport,0.3017420943003219
Macau International Airport,0.3017135283536874
Chinggis Khaan International Airport,0.3016278629566534
Pune Airport,0.3015993186334816
Sana'a International Airport,0.3015422461916927
Lomé-Tokoin Airport,0.30148519534575724
Katowice International Airport,0.30142816608342005
Casa De Campo International Airport,0.3013996595422735
Baghdad International Airport,0.3013996595422735
"Sandefjord Airport, Torp",0.3013426626323752
Dresden Airport,0.3012856872754774
Nizhny Novgorod Strigino International Airport,0.3012856872754774
Mohamed Boudiaf International Airport,0.3011148904006047
Innsbruck Airport,0.30108644307982996
Poznań-Ławica Airport,0.3010295645603098
Khartoum International Airport,0.3010011333585191
Clermont-Ferrand Auvergne Airport,0.30097270752667865
Roland Garros Airport,0.30094428706326726
Kaohsiung International Airport,0.30094428706326726
Almería International Airport,0.30088746223564955
Yaoundé Nsimalen International Airport,0.30085905786840367
Gimhae International Airport,0.30080226521944314
Borg El Arab International Airport,0.3007738769346923
New Chitose Airport,0.30074549400773803
Kahului Airport,0.3007171164370636
São Pedro Airport,0.30068874422115294
Zadar Airport,0.30057530887484674
Cochin International Airport,0.30057530887484674
Greater Rochester International Airport,0.30057530887484674
Osmany International Airport,0.3005186232909005
Liuting Airport,0.3005186232909005
Syracuse Hancock International Airport,0.3005186232909005
Cyril E. King Airport,0.3003770028275212
Rabah Bitat Airport,0.30032039200904637
Diori Hamani International Airport,0.30026380252496704
Modibo Keita International Airport,0.30026380252496704
Toussaint Louverture International Airport,0.30026380252496704
Trondheim Airport Værnes,0.30020723436322533
Sardar Vallabhbhai Patel International Airport,0.3001789582744655
Mineralnyye Vody Airport,0.3000659071650504
Buffalo Niagara International Airport,0.3000659071650504
Xi'an Xianyang International Airport,0.3000376576915835
Mashhad International Airport,0.3000094135366657
Long Beach /Daugherty Field/ Airport,0.2999529411764706
A Coruña Airport,0.29992471296819123
Rabat-Salé Airport,0.29989649007245694
Regina International Airport,0.2997836515849873
Saskatoon John G. Diefenbaker International Airport,0.2997836515849873
Trivandrum International Airport,0.2997836515849873
Aden International Airport,0.2997836515849873
General Mariano Escobedo International Airport,0.2997272641775604
Maya-Maya Airport,0.2996708979783733
Tobago-Crown Point Airport,0.29958638841887575
Reno Tahoe International Airport,0.29958638841887575
Del Bajío International Airport,0.2995300751879699
Faa'a International Airport,0.299445645024899
Asturias Airport,0.2993893846876468
Pensacola Regional Airport,0.2993612624459891
Hosea Kutako International Airport,0.29930503380916607
Shiraz Shahid Dastghaib International Airport,0.2992488262910798
Columbia Metropolitan Airport,0.2991364745635442
Huntsville International Carl T Jones Field,0.2991364745635442
Jose Maria Córdova International Airport,0.2991083998122947
Biarritz-Anglet-Bayonne Airport,0.2990803303303303
Shenzhen Bao'an International Airport,0.29885596399099773
Rzeszów-Jasionka Airport,0.2987719133777069
Kilimanjaro International Airport,0.2987719133777069
Lamezia Terme Airport,0.29874390701162357
Atyrau Airport,0.29868791002811623
Cardiff International Airport,0.2986319340329835
Shah Amanat International Airport,0.2986319340329835
Dabolim Airport,0.2986039539023705
Kelowna International Airport,0.2985200449606594
Girona Airport,0.2985200449606594
Linz Hörsching Airport,0.2985200449606594
Gassim Airport,0.29849208579188913
Diosdado Macapagal International Airport,0.29849208579188913
"Zakynthos International Airport ""Dionysios Solomos""",0.29840823970037456
Yuzhno-Sakhalinsk Airport,0.29840823970037456
Harrisburg International Airport,0.2983803014698998
Bob Hope Airport,0.2983803014698998
Bill & Hillary Clinton National Airport/Adams Field,0.2983523684703239
Irkutsk Airport,0.29829651815799324
Dane County Regional Truax Field,0.29829651815799324
Pointe Noire Airport,0.2982406887516377
George Best Belfast City Airport,0.2981290926099158
Urgench Airport,0.29804545029458523
Kharkiv International Airport,0.2980175799513746
Il Caravaggio International Airport,0.29798971482000935
Graz Airport,0.29790615068237053
Ta’if Regional Airport,0.29790615068237053
Odessa International Airport,0.29790615068237053
Changsha Huanghua International Airport,0.29790615068237053
Cadjehoun Airport,0.29787830638377416
Münster Osnabrück Airport,0.2977948047094001
Peshawar International Airport,0.2977948047094001
Ramón Villeda Morales International Airport,0.297711349836525
Hamid Karzai International Airport,0.297711349836525
Blue Grass Airport,0.29765573923601385
Yeager Airport,0.2976001494070408
Southampton Airport,0.29757236227824463
Kayseri Erkilet Airport,0.2975445803379703
Albany International Airport,0.2975445803379703
Eindhoven Airport,0.2974890320171754
Al Najaf International Airport,0.2974890320171754
Sanya Phoenix International Airport,0.2974335044330378
General Abelardo L. Rodríguez International Airport,0.29740574841358713
Basrah International Airport,0.29723932102219736
Donetsk International Airport,0.29721160123099877
Calvi-Sainte-Catherine Airport,0.29715617715617715
Theodore Francis Green State Airport,0.29715617715617715
Burlington International Airport,0.29715617715617715
Carrasco International /General C L Berisso Airport,0.29710077374848515
Robert Gabriel Mugabe International Airport,0.2970730797912006
Vigo Airport,0.29701770736253497
Kalamata Airport,0.2969070244084218
Siem Reap International Airport,0.2968793665579879
Monastir Habib Bourguiba International Airport,0.2968240663127503
Brest Bretagne Airport,0.2968240663127503
Konya Airport,0.2968240663127503
Zhoushuizi Airport,0.296796423915068
Esfahan Shahid Beheshti International Airport,0.2967687866654251
Brussels South Charleroi Airport,0.2967135276045061
Tabriz International Airport,0.2966859057903556
Southend Airport,0.2966306775874907
Port Moresby Jacksons International Airport,0.2965754699423041
Bern Belp Airport,0.2964926969950693
Prince Abdulmohsin Bin Abdulaziz Airport,0.2964926969950693
Fuzhou Changle International Airport,0.29643754069388895
Kota Kinabalu International Airport,0.2963824049102576
Ningbo Lishe International Airport,0.29629973968017853
Boise Air Terminal/Gowen Field,0.2962721948498652
Chiang Mai International Airport,0.29624465514036064
Cagliari Elmas Airport,0.296217120550237
Antonio Maceo International Airport,0.29602452164220694
Aktion National Airport,0.2959145775301764
Fresno Yosemite International Airport,0.2959145775301764
Rennes-Saint-Jacques Airport,0.29588710426144277
Volgograd International Airport,0.2957772621809745
Westerland Sylt Airport,0.2957223717175466
Rarotonga International Airport,0.2957223717175466
Ostrava Leos Janáček Airport,0.2956949341250696
Ontario International Airport,0.2956949341250696
Nanning Wuxu Airport,0.29566750162352723
Jackson-Medgar Wiley Evers International Airport,0.29566750162352723
Ålesund Airport,0.2956400742115028
Gibraltar Airport,0.2956400742115028
Guilin Liangjiang International Airport,0.29561265188758
Central Illinois Regional Airport at Bloomington-Normal,0.2955578224983771
Victoria International Airport,0.2954756165399592
Calicut International Airport,0.29544822471493465
Jardines Del Rey Airport,0.2954208379681127
Longjia Airport,0.2953660797034291
The Eastern Iowa Airport,0.2952566240503984
Roberts International Airport,0.2952019266394961
Zhengzhou Xinzheng International Airport,0.29517458553301845
Quad City International Airport,0.29517458553301845
Naha Airport,0.2951472494906464
Lviv International Airport,0.2951472494906464
Taiping Airport,0.29511991851097324
Hector International Airport,0.2950925925925926
General Wayne A. Downing Peoria International Airport,0.2950106451911506
Jeju International Airport,0.2949560388708931
Kefallinia Airport,0.2949287432907644
Paris Beauvais Tillé Airport,0.2948741672834937
Joe Foss Field Airport,0.294846886853548
Heringsdorf Airport,0.294846886853548
Jesús Terán Paredo International Airport,0.29481961147086033
Meadows Field,0.29481961147086033
General Francisco J. Mujica International Airport,0.2947650758416574
Nouakchott–Oumtounsy International Airport,0.2947105603846865
Yaoqiang Airport,0.2946833102172908
Springfield Branson National Airport,0.2946560650887574
Fort McMurray Airport,0.29462882499768883
Mobile Regional Airport,0.2946015899426881
Antonio B. Won Pat International Airport,0.2944382852919438
Pau Pyrénées Airport,0.2943838906336597
Araxos Airport,0.29435670084049137
Inverness Airport,0.29427516158818096
Sarajevo International Airport,0.2941393631748962
Sarasota Bradenton International Airport,0.29400369003690036
Manchester-Boston Regional Airport,0.29389524160826264
Fort Wayne International Airport,0.29389524160826264
Dallas Love Field,0.2938681420009221
Saipan International Airport,0.29381395777634367
Samos Airport,0.29375979352935755
Point Salines International Airport,0.29375979352935755
